name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-02-22,31,19,24.9,30.2,19,24.8,15.3,57.6,0,0,0,,0,0,37.4,18.2,105.8,1014.8,34.8,5.9,271.3,23.6,10,10,2022-02-22T06:39:16,2022-02-22T18:27:16,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-23,30.3,17.9,23.5,29.2,17.9,23.3,14.4,61.3,0,0,0,,0,0,38.2,18.3,99.4,1017.9,20.9,6.6,285.5,24.8,10,10,2022-02-23T06:38:47,2022-02-23T18:27:29,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-24,29.3,16,22.5,28,16,22.3,11.4,56,0,0,0,,0,0,37.1,18.3,109,1019,16.7,6.5,294.1,25.3,10,10,2022-02-24T06:38:18,2022-02-24T18:27:41,0.75,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-25,31.1,15,23.1,29,15,22.6,8.7,48.8,0,0,0,,0,0,39.2,17.9,82.8,1018,12.6,6.5,295.1,25.5,10,10,2022-02-25T06:37:48,2022-02-25T18:27:53,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-26,30.1,16,23.1,28.2,16,22.6,11,54.5,0,0,0,,0,0,35.6,21.9,90.5,1017.8,12.5,5.9,297.9,26,10,10,2022-02-26T06:37:17,2022-02-26T18:28:04,0.84,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-27,30,16.9,23.3,28.7,16.9,23.1,13.3,58.5,0,0,0,,0,0,37.4,14.7,84.9,1018,15.3,6.6,290.6,25.2,10,10,2022-02-27T06:36:46,2022-02-27T18:28:14,0.88,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-28,30.6,16,23.7,28.7,16,23.2,10.3,47.9,0,0,0,,0,0,38.9,14.8,98.5,1017.6,4,7.1,293.6,25.3,10,10,2022-02-28T06:36:14,2022-02-28T18:28:25,0.91,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-01,32,17,24.4,32.3,17,24,12.1,51.5,0,0,0,,0,0,49,20.1,91.6,1017.6,25.7,6.9,292.7,25.2,10,10,2022-03-01T06:35:41,2022-03-01T18:28:34,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-02,30.3,16.5,23.4,28.4,16.5,22.9,4,33,0,0,0,,0,0,49.3,22.3,101.3,1017.4,42,7.4,277.3,24,10,10,2022-03-02T06:35:08,2022-03-02T18:28:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-03,30.8,15,22.9,28.9,15,22.4,7.5,41,0,0,0,,0,0,34.6,25,79.8,1016.9,20.7,6.7,293.3,25.5,10,10,2022-03-03T06:34:34,2022-03-03T18:28:52,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-04,31.6,17,24.1,29.6,17,23.6,8.3,39.5,0,0,0,,0,0,35.6,20.7,69.3,1016.6,28,7.7,292.5,25.3,10,10,2022-03-04T06:34:00,2022-03-04T18:29:01,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-05,30.9,17,24,29.4,17,23.6,12.7,53.3,0,0,0,,0,0,39.6,20.3,63.6,1015.9,23.8,7,291,25.2,10,10,2022-03-05T06:33:25,2022-03-05T18:29:09,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-06,30,17,23.4,29.1,17,23.3,14.5,59.9,0,0,0,,0,0,38.5,20.5,69.4,1015.5,34.3,7.1,276.9,24,10,10,2022-03-06T06:32:50,2022-03-06T18:29:17,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-07,26.3,17,22,26.3,17,22,15.2,66.4,0.3,100,12.5,rain,0,0,41.4,29.4,87.2,1015.8,60.1,6.3,218,18.8,9,10,2022-03-07T06:32:14,2022-03-07T18:29:24,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-08,30.9,17,24.1,29.9,17,23.8,14.5,59.9,0,0,0,,0,0,40.7,18.2,106.3,1015.6,27.5,5.9,294.3,25.5,10,10,2022-03-08T06:31:38,2022-03-08T18:29:31,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-09,32.8,18,25.3,30.9,18,24.7,12.1,49.8,0,0,0,,0,0,46.4,16.7,95.5,1015.1,18.6,6.2,298.6,25.8,10,10,2022-03-09T06:31:02,2022-03-09T18:29:38,0.21,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-10,32.8,18,25.5,30.8,18,24.8,10.6,43.6,0,0,0,,0,0,44.3,18.3,95.9,1014.9,18.4,6.6,299.5,26.1,10,10,2022-03-10T06:30:25,2022-03-10T18:29:44,0.25,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-11,32.8,17.9,25.5,30.6,17.9,24.7,8.3,37.8,0,0,0,,0,0,38.2,20.6,85.1,1014.7,10.9,6.6,305.7,26.2,10,10,2022-03-11T06:29:47,2022-03-11T18:29:50,0.27,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-12,33,17.9,25.5,31,17.9,24.8,9.2,39.1,0,0,0,,0,0,40.7,22.1,89.2,1014.4,6.8,6.4,304,26.1,10,10,2022-03-12T06:29:10,2022-03-12T18:29:56,0.31,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-13,32.8,18.9,25.6,30.9,18.9,25,10.5,41.1,0,0,0,,0,0,38.2,24.1,89.1,1014.8,9.5,6.3,288.4,24.8,10,10,2022-03-13T06:28:32,2022-03-13T18:30:01,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-14,32.9,18.5,26.1,31.9,18.5,25.8,13.1,46.9,0,0,0,,0,0,33.1,18,79.6,1015,10.6,5.9,293.3,25.4,10,10,2022-03-14T06:27:54,2022-03-14T18:30:07,0.37,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
